name,value
occupation,Tecnólogo
occupation,Escrito técnico
occupation,Telegrafista
occupation,Telemarketer
occupation,Operador telefónico
occupation,Tenista
occupation,Desarrollador de pruebas
occupation,Piloto de pruebas
occupation,Techador
occupation,Director de teatro
occupation,Teólogo
occupation,Terapeuta
occupation,Alicatador
occupation,Fabricante de herramientas
occupation,Abogado de marcas
occupation,Comerciante
occupation,Proveedor
occupation,Planificador de tránsito
occupation,Traductor
occupation,Trigonometrista
occupation,Camionero
occupation,Afinador
occupation,Tornero
occupation,Tutor
occupation,Ufólogo
occupation,Agente encubierto
occupation,Defensor
occupation,Tapicero
occupation,Urólogo
occupation,Urbanista
occupation,Ujier
occupation,Aparcacoches
occupation,Veterinario
occupation,Vibrafonista
occupation,Vicario
occupation,Editor de videos
occupation,Desarrollador de videojuegos
occupation,Vinatero
occupation,Violinista
occupation,Violista
occupation,Vocalista
occupation,Camarero
occupation,Tejedor
occupation,Webmaster
occupation,Desarrollador web
occupation,Diseñador web
occupation,Soldador
occupation,Nodriza
occupation,Tallador de madera
occupation,Enólogo
occupation,Escritor
occupation,Xilofonista
occupation,Técnico de Rayos X
occupation,Joven trabajador
occupation,Trabajador de zoo
occupation,Zoólogo
specialty,Anatomía
specialty,Andrología
specialty,Medicina Alternativa
specialty,Anestesiología
specialty,Bioquímica
specialty,Cardiología
specialty,Cirugía cardiovascular
specialty,Ciencias de Laboratorio Clínico
specialty,Neurofisiología clínica
specialty,Dermatología
specialty,Nutrición
specialty,Embriología
specialty,Medicina de emergencias
specialty,Endocrinología
specialty,Medicina Familiar
specialty,Medicina Forense
specialty,Gastroenterología
specialty,Cirugía general
specialty,Genética
specialty,Geriatría
specialty,Ginecología
specialty,Hematología
specialty,Hepatología
specialty,Histología
specialty,Inmunología
specialty,Enfermedades infecciosas
specialty,Medicina de cuidados intensivos
specialty,Cirugía maxilofacial
specialty,Nefrología
specialty,Neurología
specialty,Neurocirugía
specialty,Enfermería
specialty,Ginecología y Obstetricia
specialty,Oncología
specialty,Oftalmología
specialty,Cirugía ortopédica
specialty,Otorrinolaringología - ENT
specialty,Cuidados paliativos
specialty,Patología
specialty,Pediatría
specialty,Cirugía pediátrica
specialty,Farmacología
specialty,Medicina física y rehabilitación
specialty,Cirugía plástica
specialty,Proctología
specialty,Psiquiatría
specialty,Neumología
specialty,Radiología
specialty,logía
specialty,Estomatología
specialty,Oncología quirúrgica
specialty,Cirugía torácica
specialty,Toxicología
specialty,Cirugía de transplantes
specialty,Cirugía traumatológica
specialty,Medicina de urgencia
specialty,Urología
specialty,Cirugía vascular
specialty,Médico clínico
specialty,Medicina Interna
specialty,Terapia del habla / Fonoaudiología
specialty,Psicología
specialty,Medicina paliativa
specialty,Medicina Integral
specialty,Neonatología
specialty,Cirugía Cardiotorácica
specialty,Obstetricia
specialty,Atención Primaria
specialty,Planificación Familiar (Atención Primaria)
specialty,Servicios Sociales
specialty,Medicina Oral (Atención Primaria)
specialty,Salud Infantil (Atención Primaria)
specialty,Salud de la Mujer (Atención Primaria)
